"id","type","vehicle_type","id_road_node_via","id_road_section_from","id_road_section_to","id_road_section_via"
27872,"only_right_turn","all","288554225","26337732","31721827",NULL
545214,"only_straight_on","all","685350410","54516732","397870776",NULL
1185960,"only_straight_on","all","274239743","66386064","78394032",NULL
1209753,"only_straight_on","all","30389409","369249723","665685147",NULL
1210545,"only_straight_on","all","243066351","554274763","80665504",NULL
1210547,"only_straight_on","all","243066412","80665501","80665506",NULL
1210548,"only_straight_on","all","243066414","92708534","80665501",NULL
1210557,"only_straight_on","all","5266186779","123432626","80665806",NULL
1210627,"only_straight_on","all","297503120","92692735","27115456",NULL
1211185,"no_left_turn","all","263708638","7983980","24321437",NULL
1211840,"no_left_turn","all","297503189","92741333","80733755",NULL
1212689,"no_left_turn","all","30389470","4759695","80789033",NULL
1213222,"no_left_turn","all","3723965153","461373044","80813641",NULL
1213652,"no_left_turn","all","263698462","24320050","80851407",NULL
1213665,"no_left_turn","all","263699244","456064565","80852539",NULL
1213666,"no_left_turn","all","942629428","80852540","80852536",NULL
1213667,"no_left_turn","all","30438377","78349684","80852540",NULL
1213668,"no_left_turn","all","30438377","669498453","78349687",NULL
1230407,"no_left_turn","all","632249745","49748651","82113293",NULL
1230493,"no_left_turn","all","30575368","80359577","80359578",NULL
1230494,"no_left_turn","all","41430285","125644935","82116907",NULL
1230495,"only_straight_on","all","41430291","92741399","489327951",NULL
1231295,"only_straight_on","all","263313600","80347972","80347975",NULL
1238863,"no_left_turn","all","249350296","82406679","48856444",NULL
1238896,"no_u_turn","all","471784733","79988585","100870114",NULL
1238897,"no_left_turn","all","471784546","27099071","82412374",NULL
1240052,"no_u_turn","all","41145902","6016217","6016255",NULL
1240058,"only_straight_on","all","264098983","80716109","24344846",NULL
1240084,"only_straight_on","all","249077706","82489803","23075731",NULL
1240086,"only_straight_on","all","937794393","80359256","80359247",NULL
1240087,"only_straight_on","all","263703319","4766227","80359249",NULL
1240088,"only_straight_on","all","939238608","80359261","80359254",NULL
1240090,"only_straight_on","all","274103537","371895558","82489989",NULL
1240091,"only_straight_on","all","259474527","485107969","82490028",NULL
1240092,"only_straight_on","all","263695640","48396114","82490044",NULL
