"segment_number","node_start","node_end","id_road_section"
0,"249091504","249092208","4759672"
1,"249092208","942069538","4759672"
2,"942069538","30389389","4759672"
0,"30438447","30389406","4759679"
0,"3745747448","30389508","4759680"
0,"4171954126","707559065","4759681"
0,"30389469","5834105727","4759684"
1,"5834105727","249091504","4759684"
0,"41145914","30389435","4759687"
0,"30389424","213757129","4759689"
1,"213757129","245792927","4759689"
2,"245792927","354616466","4759689"
3,"354616466","354615123","4759689"
4,"354615123","30389410","4759689"
5,"30389410","356899300","4759689"
6,"356899300","356899305","4759689"
0,"30389471","158680093","4759691"
0,"942078257","30389470","4759695"
0,"30438438","30438687","4766157"
0,"30438384","158680078","4766158"
0,"259476135","30438724","4766163"
0,"30438605","30438391","4766165"
0,"30438733","292555997","4766166"
0,"30389477","3459869637","4766167"
0,"30438379","1421048020","4766175"
1,"1421048020","267819836","4766175"
0,"30438361","30438537","4766178"
0,"1122581651","249078277","4766180"
1,"249078277","249077657","4766180"
0,"30438405","30438426","4766181"
1,"30438426","30438759","4766181"
2,"30438759","30575386","4766181"
3,"30575386","3723485837","4766181"
4,"3723485837","5331364394","4766181"
5,"5331364394","30389391","4766181"
0,"30389501","30438410","4766185"
0,"263698478","30438719","4766186"
0,"30389407","30575306","4766187"
0,"30438631","248808656","4766193"
1,"248808656","942046347","4766193"
0,"257338766","257338779","4766198"
0,"30438749","30438475","4766202"
0,"30389391","30575132","4766203"
0,"410495407","6283522494","4766209"
0,"30438399","249707302","4766210"
0,"245435814","253535501","4766211"
0,"30438446","248951008","4766215"
0,"30438417","30438474","4766217"
0,"30389510","30389511","4766225"
0,"30438605","30438383","4766226"
0,"30438391","263703319","4766227"
0,"1395083804","256133325","4766234"
0,"30438600","30438589","4766235"
0,"30389507","30438745","4766236"
0,"30438359","30438426","4766237"
0,"30438361","263699248","4766240"
1,"263699248","263699242","4766240"
2,"263699242","3226132050","4766240"
3,"3226132050","263699276","4766240"
4,"263699276","527881501","4766240"
5,"527881501","6249745383","4766240"
0,"30389513","30389510","4766241"
0,"248808638","252756460","4766243"
0,"260548235","265043689","4766244"
1,"265043689","260548237","4766244"
0,"30438577","1976553996","4766253"
1,"1976553996","921188564","4766253"
0,"263373092","1288034584","4766256"
1,"1288034584","263373117","4766256"
0,"30438750","259474523","4766768"
0,"30575306","4809767346","4779047"
0,"939079559","30575332","4779051"
0,"59751393","1719184169","4779058"
0,"30575433","1246618588","4779063"
1,"1246618588","1246618651","4779063"
2,"1246618651","30575363","4779063"
0,"265044023","1490641531","4779077"
0,"5373960825","3723485833","4779078"
1,"3723485833","1146352851","4779078"
2,"1146352851","5796222972","4779078"
3,"5796222972","59751392","4779078"
0,"30575496","30575495","4779083"
0,"30389511","30389476","4779084"
0,"158680094","30389441","4779085"
0,"30575509","1421011242","4779087"
1,"1421011242","30575508","4779087"
0,"30575514","3723328857","4779088"
1,"3723328857","30575518","4779088"
0,"30575518","3723328859","4779089"
1,"3723328859","30575514","4779089"
0,"30575516","213797680","4779090"
0,"30575514","3723328860","4779091"
0,"4395996660","30575295","4780153"
0,"59754233","5284014008","4911856"
0,"30438468","263703324","5094617"
0,"34746453","4685110320","5094655"
1,"4685110320","263701675","5094655"
2,"263701675","248922787","5094655"
3,"248922787","263701661","5094655"
4,"263701661","4674536797","5094655"
0,"35292820","261202160","5094693"
1,"261202160","1859576613","5094693"
2,"1859576613","41161677","5094693"
0,"32039356","265037900","5094748"
1,"265037900","6297509001","5094748"
2,"6297509001","5617776383","5094748"
3,"5617776383","32039497","5094748"
4,"32039497","259483661","5094748"
5,"259483661","265037910","5094748"
6,"265037910","32039383","5094748"
7,"32039383","3637551789","5094748"
8,"3637551789","249786713","5094748"
0,"32039332","32039340","5095452"
0,"41145879","4583439622","5558795"
1,"4583439622","41145894","5558795"
0,"260548856","41145803","5558797"
0,"360258516","1246745215","5558799"
0,"59764882","264111632","5574522"
0,"41268748","267102559","5574524"
0,"215814029","1914243151","5574533"
1,"1914243151","82527959","5574533"
0,"41430220","263373092","5574535"
0,"41346303","41346346","5574538"
1,"41346346","270437906","5574538"
0,"270437902","41346366","5574539"
0,"4157641478","41269582","5577837"
0,"30438698","259492664","5581451"
1,"259492664","2594320108","5581451"
2,"2594320108","6341454872","5581451"
0,"30438542","960119519","5581454"
0,"41430291","30438464","5581455"
1,"30438464","56431800","5581455"
0,"297507630","441756094","5581456"
1,"441756094","297507676","5581456"
2,"297507676","297507626","5581456"
3,"297507626","625953632","5581456"
0,"41269314","41346197","5652418"
1,"41346197","41346204","5652418"
0,"34756896","268479846","6016215"
1,"268479846","268479829","6016215"
0,"4583439622","41145902","6016217"
0,"41145902","287952207","6016255"
0,"582847792","1765198226","7925565"
1,"1765198226","1437298783","7925565"
0,"59749783","59749784","7983776"
0,"59749793","675703752","7983780"
0,"1128031337","934038225","7983781"
0,"4350954613","263708638","7983980"
0,"59751395","59751394","7984257"
0,"59757546","59757541","7984911"
