"road_type","id_vehicle","vehicles_percentage","road_slope"
"rural",0,"10",NULL
"highway",0,"10",NULL
"urban",1,"80",NULL
"rural",1,"10",NULL
"highway",1,"10",NULL
"urban",2,"80",NULL
"rural",2,"10",NULL
"urban",3,"80",NULL
"rural",3,"10",NULL
"highway",3,"10",NULL
"urban",4,"80",NULL
"rural",4,"10",NULL
"highway",4,"10",NULL
"urban",5,"80",NULL
"rural",5,"10",NULL
"highway",5,"10",NULL
"urban",6,"80",NULL
"highway",6,"10",NULL
"urban",7,"80",NULL
"rural",7,"10",NULL
"highway",7,"10",NULL
"urban",8,"80",NULL
"rural",8,"10",NULL
"highway",8,"10",NULL
"urban",9,"80",NULL
"rural",9,"10",NULL
"highway",9,"10",NULL
"rural",10,"10",NULL
"highway",10,"10",NULL
"urban",11,"80",NULL
"rural",11,"10",NULL
"highway",11,"10",NULL
"urban",12,"80",NULL
"rural",12,"10",NULL
"highway",12,"10",NULL
"urban",13,"80",NULL
"rural",13,"10",NULL
"urban",14,"80",NULL
"rural",14,"10",NULL
"highway",14,"10",NULL
"urban",15,"80",NULL
"rural",15,"10",NULL
"highway",15,"10",NULL
"urban",16,"80",NULL
"rural",16,"10",NULL
"highway",16,"10",NULL
"urban",17,"80",NULL
"highway",17,"10",NULL
"urban",18,"80",NULL
"rural",18,"10",NULL
"highway",18,"10",NULL
"urban",19,"80",NULL
"rural",19,"10",NULL
"highway",19,"10",NULL
"urban",20,"80",NULL
"rural",20,"10",NULL
"highway",20,"10",NULL
"rural",21,"10",NULL
"highway",21,"10",NULL
"urban",22,"80",NULL
"rural",22,"10",NULL
"highway",22,"10",NULL
"urban",23,"80",NULL
"rural",23,"10",NULL
"highway",23,"10",NULL
"urban",24,"80",NULL
"rural",24,"10",NULL
"urban",25,"80",NULL
"rural",25,"10",NULL
"highway",25,"10",NULL
"urban",26,"80",NULL
"rural",26,"10",NULL
"highway",26,"10",NULL
"urban",27,"80",NULL
"rural",27,"10",NULL
"highway",27,"10",NULL
"urban",28,"80",NULL
"highway",28,"10",NULL
"urban",29,"80",NULL
"rural",29,"10",NULL
"highway",29,"10",NULL
"urban",30,"80",NULL
"rural",30,"10",NULL
"highway",30,"10",NULL
"urban",31,"80",NULL
"rural",31,"10",NULL
"highway",31,"10",NULL
"rural",32,"10",NULL
"highway",32,"10",NULL
"urban",33,"80",NULL
"rural",33,"10",NULL
"highway",33,"10",NULL
"urban",34,"80",NULL
"rural",34,"10",NULL
"highway",34,"10",NULL
"urban",35,"80",NULL
"rural",35,"10",NULL
"urban",36,"80",NULL
"rural",36,"10",NULL
"highway",36,"10",NULL
"urban",37,"80",NULL
"rural",37,"10",NULL
"highway",37,"10",NULL
"urban",38,"80",NULL
"rural",38,"10",NULL
"highway",38,"10",NULL
"urban",62,"80",NULL
"rural",62,"10",NULL
"highway",62,"10",NULL
"urban",63,"80",NULL
"rural",63,"10",NULL
"highway",63,"10",NULL
"urban",64,"80",NULL
"highway",64,"10",NULL
"urban",65,"80",NULL
"rural",65,"10",NULL
"highway",65,"10",NULL
"urban",66,"80",NULL
"rural",66,"10",NULL
"highway",66,"10",NULL
"urban",67,"80",NULL
"rural",67,"10",NULL
"highway",67,"10",NULL
"rural",68,"10",NULL
"highway",68,"10",NULL
"urban",69,"80",NULL
"rural",69,"10",NULL
"highway",69,"10",NULL
"urban",70,"80",NULL
"rural",70,"10",NULL
"highway",70,"10",NULL
"urban",71,"80",NULL
"rural",71,"10",NULL
"urban",72,"80",NULL
"rural",72,"10",NULL
