"phenomenon_time";"id_aq_legal_station";"c6h6";"co";"no";"no2";"o3";"nox"
"2018-02-02 00:00:00";26;NULL;"0.14";NULL;NULL;"57.53";NULL
"2018-02-02 01:00:00";26;NULL;"0.13";NULL;"8.03";"59.28";NULL
"2018-02-02 02:00:00";26;NULL;"0.13";NULL;"7.5";"60.11";NULL
"2018-02-02 03:00:00";26;NULL;"0.13";NULL;"8.43";"59.55";NULL
"2018-02-02 04:00:00";26;NULL;"0.12";NULL;"8.39";"60.25";NULL
"2018-02-02 05:00:00";26;NULL;"0.13";NULL;"10.22";"58.1";NULL
"2018-02-02 06:00:00";26;NULL;"0.13";NULL;"13.85";"55.56";NULL
"2018-02-02 07:00:00";26;NULL;"0.15";NULL;"21.29";"49.22";NULL
"2018-02-02 08:00:00";26;NULL;"0.17";NULL;"30.38";"43.71";NULL
"2018-02-02 09:00:00";26;NULL;"0.17";NULL;"32.33";"44.16";NULL
"2018-02-02 10:00:00";26;NULL;"0.16";NULL;"17.84";"56.2";NULL
"2018-02-02 11:00:00";26;NULL;"0.15";NULL;"11.9";"66.07";NULL
"2018-02-02 12:00:00";26;NULL;"0.15";NULL;"11.56";"68.38";NULL
"2018-02-02 13:00:00";26;NULL;"0.13";NULL;"10.04";"70.76";NULL
"2018-02-02 14:00:00";26;NULL;"0.14";NULL;"17.53";"69.28";NULL
"2018-02-02 15:00:00";26;NULL;"0.16";NULL;"18.43";"64.71";NULL
"2018-02-02 16:00:00";26;NULL;"0.13";NULL;"23.72";"62.95";NULL
"2018-02-02 17:00:00";26;NULL;"0.14";NULL;"24.74";"63.39";NULL
"2018-02-02 18:00:00";26;NULL;"0.14";NULL;"17.21";"63.11";NULL
"2018-02-02 19:00:00";26;NULL;"0.15";NULL;"23.47";"56.34";NULL
"2018-02-02 20:00:00";26;NULL;"0.16";NULL;"23.29";"54.65";NULL
"2018-02-02 21:00:00";26;NULL;"0.17";NULL;"22.54";"51.43";NULL
"2018-02-02 22:00:00";26;NULL;"0.16";NULL;"19.04";"53.94";NULL
"2018-02-02 23:00:00";26;NULL;"0.15";NULL;"12.23";"58.84";NULL
"2018-02-03 00:00:00";26;NULL;"0.14";NULL;"9.23";"61.62";NULL
"2018-02-03 01:00:00";26;NULL;"0.13";NULL;"9.08";"60.04";NULL
"2018-02-03 02:00:00";26;NULL;"0.13";NULL;"7.94";"62.49";NULL
"2018-02-03 03:00:00";26;NULL;"0.13";NULL;"7.4";"60.73";NULL
"2018-02-03 04:00:00";26;NULL;"0.14";NULL;"6.88";"62.62";NULL
"2018-02-03 05:00:00";26;NULL;"0.13";NULL;"8.05";"61.43";NULL
"2018-02-03 06:00:00";26;NULL;"0.13";NULL;"9.33";"60.22";NULL
"2018-02-03 07:00:00";26;NULL;"0.14";NULL;"12.83";"57.95";NULL
"2018-02-03 08:00:00";26;NULL;"0.13";NULL;"19.82";"52.34";NULL
"2018-02-03 09:00:00";26;NULL;"0.15";NULL;"18.1";"55.25";NULL
"2018-02-03 10:00:00";26;NULL;"0.16";NULL;"15.12";"58.05";NULL
"2018-02-03 11:00:00";26;NULL;"0.16";NULL;"11.9";"63.82";NULL
"2018-02-03 12:00:00";26;NULL;"0.18";NULL;"14.51";"63.09";NULL
"2018-02-03 13:00:00";26;NULL;"0.16";NULL;"12.36";"70.09";NULL
