id;fuel;emission_standard;registration_year;class
376;petrol;euro 3;2006;motorcycle
397;petrol;euro 1;1989;motorcycle
412;diesel;euro 3;2003;car
431;diesel;euro 1;1993;car
450;diesel;euro 5;2012;car
469;diesel;euro 3;2002;car
475;diesel;euro 4;2008;car
485;diesel;conventional;1989;car
504;diesel;euro 5;2012;car
523;lpg;euro 6;2017;car
542;petrol;euro 1;1995;car
561;petrol;euro 5;2014;car
580;petrol;euro 3;2004;car
26;diesel;euro 6;2016;bus
29;petrol;conventional;1989;bus
46;diesel;euro 4;2006;car
63;petrol;euro 1;1994;car
80;petrol;euro 5;2011;car
97;diesel;euro 2;2000;truck
114;diesel;euro 6;2017;truck
131;diesel;euro 2;2009;motorcycle
148;petrol;euro 2;2007;motorcycle
165;diesel;euro 1;1996;car
182;diesel;euro 5;2013;car
199;petrol;euro 3;2001;car
216;petrol;conventional;1989;car
231;diesel;euro 3;2008;motorcycle
250;petrol;euro 1;1999;motorcycle
260;petrol;euro 3;2009;motorcycle
270;petrol;euro 1;1990;motorcycle
289;petrol;euro 3;2009;motorcycle
308;petrol;euro 1;1999;motorcycle
327;petrol;euro 1;1989;motorcycle
346;petrol;euro 3;2008;motorcycle
365;petrol;euro 1;1995;motorcycle
367;petrol;euro 1;1997;motorcycle
0;diesel;conventional;1990;bus
1;diesel;conventional;1991;bus
2;diesel;euro 1;1992;bus
3;diesel;euro 1;1993;bus
4;diesel;euro 1;1994;bus
5;diesel;euro 1;1995;bus
6;diesel;euro 2;1996;bus
7;diesel;euro 2;1997;bus
8;diesel;euro 2;1998;bus
9;diesel;euro 2;1999;bus
10;diesel;euro 2;2000;bus
11;diesel;euro 3;2001;bus
12;diesel;euro 3;2002;bus
13;diesel;euro 3;2003;bus
14;diesel;euro 3;2004;bus
15;diesel;euro 4;2005;bus
16;diesel;euro 4;2006;bus
17;diesel;euro 4;2007;bus
18;diesel;euro 5;2008;bus
19;diesel;euro 5;2009;bus
20;diesel;euro 5;2010;bus
21;diesel;euro 5;2011;bus
22;diesel;euro 5;2012;bus
23;diesel;euro 5;2013;bus
24;diesel;euro 6;2014;bus
25;diesel;euro 6;2015;bus
30;diesel;conventional;1990;car
31;diesel;conventional;1991;car
32;diesel;conventional;1992;car
33;diesel;conventional;1993;car
34;diesel;euro 1;1994;car
35;diesel;euro 1;1995;car
36;diesel;euro 1;1996;car
37;diesel;euro 1;1997;car
38;diesel;euro 2;1998;car
39;diesel;euro 2;1999;car
40;diesel;euro 2;2000;car
41;diesel;euro 3;2001;car
42;diesel;euro 3;2002;car
43;diesel;euro 3;2003;car
44;diesel;euro 3;2004;car
45;diesel;euro 3;2005;car
47;diesel;euro 4;2007;car
48;diesel;euro 4;2008;car
49;diesel;euro 4;2009;car
50;diesel;euro 4;2010;car
51;diesel;euro 5;2011;car
52;diesel;euro 5;2012;car
53;diesel;euro 5;2013;car
54;diesel;euro 5;2014;car
55;diesel;euro 6 up to 2017;2015;car
56;diesel;euro 6 up to 2017;2016;car
57;diesel;euro 6 up to 2017;2017;car
58;diesel;conventional;1989;car
59;petrol;conventional;1990;car
60;petrol;conventional;1991;car
61;petrol;conventional;1992;car
62;petrol;conventional;1993;car
64;petrol;euro 1;1995;car
65;petrol;euro 1;1996;car
66;petrol;euro 1;1997;car
67;petrol;euro 2;1998;car
68;petrol;euro 2;1999;car
69;petrol;euro 2;2000;car
70;petrol;euro 3;2001;car
71;petrol;euro 3;2002;car
72;petrol;euro 3;2003;car
73;petrol;euro 3;2004;car
74;petrol;euro 3;2005;car
75;petrol;euro 4;2006;car
76;petrol;euro 4;2007;car
77;petrol;euro 4;2008;car
78;petrol;euro 4;2009;car
79;petrol;euro 4;2010;car
81;petrol;euro 5;2013;car
82;petrol;euro 5;2014;car
83;petrol;euro 6 up to 2017;2015;car
84;petrol;euro 6 up to 2017;2016;car
85;petrol;euro 6 up to 2017;2017;car
86;petrol;conventional;1989;car
87;diesel;conventional;1990;truck
88;diesel;conventional;1991;truck
89;diesel;euro 1;1992;truck
90;diesel;euro 1;1993;truck
91;diesel;euro 1;1994;truck
92;diesel;euro 1;1995;truck
93;diesel;euro 2;1996;truck
94;diesel;euro 2;1997;truck
95;diesel;euro 2;1998;truck
96;diesel;euro 2;1999;truck
98;diesel;euro 3;2001;truck
99;diesel;euro 3;2002;truck
100;diesel;euro 3;2003;truck
101;diesel;euro 3;2004;truck
102;diesel;euro 4;2005;truck
103;diesel;euro 4;2006;truck
104;diesel;euro 4;2007;truck
105;diesel;euro 5;2008;truck
106;diesel;euro 5;2009;truck
107;diesel;euro 5;2010;truck
108;diesel;euro 5;2011;truck
109;diesel;euro 5;2012;truck
110;diesel;euro 5;2013;truck
111;diesel;euro 6;2014;truck
112;diesel;euro 6;2015;truck
113;diesel;euro 6;2016;truck
115;diesel;conventional;1989;truck
116;petrol;conventional;1997;truck
117;petrol;conventional;2000;truck
118;petrol;conventional;2001;truck
119;petrol;conventional;2006;truck
120;petrol;conventional;1989;truck
121;diesel;euro 1;1999;motorcycle
